,task,method,views,session,code,id,order,hist,guess,bonus,dots
401,ox,min,3,lg30cqht,qgi39xep,2,1,[],544.310750636277,0.0,1233
405,ox,min,3,lg30cqht,t9mzyqcp,6,2,[2],635.029209075656,0.0,1233
406,ox,min,3,lg30cqht,vxmltl9o,7,3,"[2, 6]",544.310750636277,0.0,1233
411,ox,min,3,lg30cqht,39rz70lh,12,4,"[2, 6, 7]",544.310750636277,0.0,1233
414,ox,min,3,lg30cqht,576pu1ug,15,5,"[2, 7, 12]",498.951521416587,0.0,1233
416,ox,min,3,lg30cqht,azd5rbt6,17,6,"[7, 12, 15]",499.0,0.0,1233
418,ox,min,3,lg30cqht,4essk53n,19,7,"[12, 15, 17]",521.631136026432,0.0,1233
417,ox,min,3,lg30cqht,muphfwqj,18,8,"[15, 17, 19]",544.310750636277,0.0,1233
419,ox,min,3,lg30cqht,ymm76eg3,20,9,"[15, 17, 19]",521.631136026432,0.0,1233
420,ox,min,3,lg30cqht,iza7tu5a,21,10,"[15, 17, 20]",680.388438295346,0.0,1233
422,ox,min,3,lg30cqht,0fk957fz,23,11,"[15, 17, 20]",514.827251643478,0.0,1233
423,ox,min,3,lg30cqht,9txt7ffw,24,12,"[15, 17, 23]",514.827251643478,0.0,1233
421,ox,min,3,lg30cqht,n4uqlkxq,22,13,"[15, 17, 24]",499.0,0.0,1233
424,ox,min,3,lg30cqht,4zi3r812,25,14,"[15, 17, 22]",1043.26227205286,0.0,1233
425,ox,min,3,lg30cqht,w7zka76t,26,15,"[15, 17, 22]",499.858706000981,0.0,1233
426,ox,min,3,lg30cqht,j6g4goda,27,16,"[15, 17, 22]",544.310750636277,0.0,1233
427,ox,min,3,lg30cqht,ij3hm7pd,28,17,"[15, 17, 22]",900.0,0.0,1233
428,ox,min,3,lg30cqht,4vml6fa9,29,18,"[15, 17, 22]",544.310750636277,0.0,1233
430,ox,min,3,lg30cqht,znp73z9x,31,19,"[15, 17, 22]",544.310750636277,0.0,1233
431,ox,min,3,lg30cqht,tk84ue3j,32,20,"[15, 17, 22]",498.99688064580596,0.0,1233
432,ox,min,3,lg30cqht,1bc57lrz,33,21,"[15, 22, 32]",907.1845843937939,0.0,1233
433,ox,min,3,lg30cqht,f4b4b2v5,34,22,"[15, 22, 32]",589.6699798559661,0.0,1233
434,ox,min,3,lg30cqht,zqsdu65u,35,23,"[15, 22, 32]",498.951521416587,0.0,1233
436,ox,min,3,lg30cqht,1uyyr0xh,37,24,"[15, 32, 35]",498.951521416587,0.0,1233
437,ox,min,3,lg30cqht,zadsus3v,38,25,"[15, 35, 37]",601.009787160889,0.0,1233
438,ox,min,3,lg30cqht,j09upr8b,39,26,"[15, 35, 37]",1133.98073049224,1.0,1233
439,ox,min,3,lg30cqht,tnn40zld,40,27,"[15, 35, 37]",498.951521416587,0.0,1233
440,ox,min,3,lg30cqht,7z0me8iw,41,28,"[35, 37, 40]",908.998953562582,0.0,1233
441,ox,min,3,lg30cqht,bkbs9605,42,29,"[35, 37, 40]",453.59229219689695,0.0,1233
443,ox,min,3,lg30cqht,i82kbnz9,44,30,"[37, 40, 42]",450.0,0.0,1233
445,ox,min,3,lg30cqht,k1nqho6d,46,31,"[40, 42, 44]",566.990365246121,0.0,1233
446,ox,min,3,lg30cqht,82otyicw,47,32,"[40, 42, 44]",498.951521416587,0.0,1233
447,ox,min,3,lg30cqht,ti8uo9iz,48,33,"[42, 44, 47]",693.542614769056,0.0,1233
451,ox,min,3,lg30cqht,yzwtiyyv,52,34,"[42, 44, 47]",450.00891308854204,0.0,1233
452,ox,min,3,lg30cqht,yzzmz51h,53,35,"[42, 44, 52]",491.830122429096,0.0,1233
456,ox,min,3,lg30cqht,8pbjidc7,57,36,"[42, 44, 52]",448.0,0.0,1233
458,ox,min,3,lg30cqht,wjdd0r70,59,37,"[44, 52, 57]",448.01310700287496,0.0,1233
459,ox,min,3,lg30cqht,w5c97z9x,60,38,"[44, 57, 59]",446.788407813944,0.0,1233
460,ox,min,3,lg30cqht,3rtzeukp,61,39,"[57, 59, 60]",1043.26227205286,0.0,1233
461,ox,min,3,lg30cqht,a733jiot,62,40,"[57, 59, 60]",453.59229219689695,0.0,1233
462,ox,min,3,lg30cqht,4znaza8k,63,41,"[57, 59, 60]",446.788407813944,0.0,1233
463,ox,min,3,lg30cqht,xiabodfd,64,42,"[57, 60, 63]",444.52044635295897,0.0,1233
465,ox,min,3,lg30cqht,vfyri7uc,66,43,"[60, 63, 64]",446.0,0.0,1233
466,ox,min,3,lg30cqht,yrq4dega,67,44,"[63, 64, 66]",225.0,0.0,1233
467,ox,min,3,lg30cqht,foa1mof4,68,45,"[64, 66, 67]",181.436916878759,0.0,1233
468,ox,min,3,lg30cqht,w9cmwzpo,69,46,"[64, 67, 68]",498.951521416587,0.0,1233
469,ox,min,3,lg30cqht,maatwipo,70,47,"[64, 67, 68]",444.5,0.0,1233
470,ox,min,3,lg30cqht,jpgehpi5,71,48,"[67, 68, 70]",326.58645038176604,0.0,1233
471,ox,min,3,lg30cqht,mt5bhn16,72,49,"[67, 68, 70]",520.0,0.0,1233
472,ox,min,3,lg30cqht,cwfy233z,73,50,"[67, 68, 71]",294.83498992798303,0.0,1233
474,ox,min,3,lg30cqht,49d4thz1,75,51,"[67, 68, 73]",400.0,0.0,1233
475,ox,min,3,lg30cqht,1lwfjbo2,76,52,"[67, 68, 73]",294.83498992798303,0.0,1233
476,ox,min,3,lg30cqht,wv7tkm6h,77,53,"[67, 68, 76]",272.155375318138,0.0,1233
477,ox,min,3,lg30cqht,ht4lm5uv,78,54,"[67, 68, 77]",181.436916878759,0.0,1233
478,ox,min,3,lg30cqht,0sslh84j,79,55,"[67, 68, 78]",544.310750636277,0.0,1233
479,ox,min,3,lg30cqht,yyhxrt3x,80,56,"[67, 68, 78]",362.873833757518,0.0,1233
