,task,method,views,session,code,id,order,hist,guess,bonus,dots
1,ox,min,1,qbp8ivmd,0z5htnyy,2,1,[],353.8019879,0.0,1233
0,ox,min,1,qbp8ivmd,87mvo6pu,1,2,[2],816.466126,0.0,1233
2,ox,min,1,qbp8ivmd,pmo8rf9p,3,3,[2],550.0,0.0,1233
4,ox,min,1,qbp8ivmd,x8qi1535,5,4,[2],680.3884383,0.0,1233
7,ox,min,1,qbp8ivmd,sa8x8fm8,8,5,[2],907.1845844000001,0.0,1233
6,ox,min,1,qbp8ivmd,i3i23qik,7,6,[2],589.6699798999999,0.0,1233
12,ox,min,1,qbp8ivmd,ixpeqtou,13,7,[2],317.5146045,0.0,1233
17,ox,min,1,qbp8ivmd,j5k28sug,18,8,[13],315.0,0.0,1233
15,ox,min,1,qbp8ivmd,p2x0wqvv,16,9,[18],544.3107506,0.0,1233
22,ox,min,1,qbp8ivmd,nmtgtbtm,23,11,[18],441.7988926,0.0,1233
24,ox,min,1,qbp8ivmd,npjkdr0w,25,12,[18],362.8738338,0.0,1233
25,ox,min,1,qbp8ivmd,vj2c2fx0,26,13,[18],997.9030428,0.0,1233
27,ox,min,1,qbp8ivmd,sr1wb132,28,14,[18],353.8019879,0.0,1233
28,ox,min,1,qbp8ivmd,nhuykjr4,29,15,[18],612.8031867999999,0.0,1233
29,ox,min,1,qbp8ivmd,wp6euphe,30,16,[18],635.0292091,0.0,1233
31,ox,min,1,qbp8ivmd,51oots8x,32,17,[18],498.9515214,0.0,1233
32,ox,min,1,qbp8ivmd,s6bnsg7b,33,18,[18],543.4035661,0.0,1233
33,ox,min,1,qbp8ivmd,me0qppew,34,19,[18],158.7573023,0.0,1233
36,ox,min,1,qbp8ivmd,xlr6l2ch,37,20,[34],750.0,0.0,1233
37,ox,min,1,qbp8ivmd,qytfj3qt,38,21,[34],294.8349899,0.0,1233
38,ox,min,1,qbp8ivmd,gpo00q1u,39,22,[34],544.3107506,0.0,1233
39,ox,min,1,qbp8ivmd,l190iwhz,40,23,[34],500.0,0.0,1233
42,ox,min,1,qbp8ivmd,nwbgk9gz,43,24,[34],317.5146045,0.0,1233
43,ox,min,1,qbp8ivmd,4b4ca8xg,44,25,[34],145.1495335,0.0,1233
44,ox,min,1,qbp8ivmd,fru8h1u7,45,26,[44],145.1,0.0,1233
45,ox,min,1,qbp8ivmd,u1mcyj49,46,27,[45],340.1942191,0.0,1233
46,ox,min,1,qbp8ivmd,z9a01bol,47,28,[45],164.20040980000002,0.0,1233
47,ox,min,1,qbp8ivmd,kvyhn26y,48,29,[45],317.0610122,0.0,1233
48,ox,min,1,qbp8ivmd,pzseykj6,49,30,[45],226.79614610000002,0.0,1233
49,ox,min,1,qbp8ivmd,9j520eif,50,31,[45],147.78036880000002,0.0,1233
50,ox,min,1,qbp8ivmd,vkc38ki8,51,32,[45],181.4369169,0.0,1233
51,ox,min,1,qbp8ivmd,5kwci9dn,52,33,[45],907.1845844000001,0.0,1233
52,ox,min,1,qbp8ivmd,j1cpl5wf,53,34,[45],350.0,0.0,1233
55,ox,min,1,qbp8ivmd,7k1ylkul,56,36,[45],150.0,0.0,1233
57,ox,min,1,qbp8ivmd,59txgqro,58,37,[45],160.0,0.0,1233
58,ox,min,1,qbp8ivmd,78pocusb,59,38,[45],1400.0,0.0,1233
60,ox,min,1,qbp8ivmd,5bprux4x,61,39,[45],408.233063,0.0,1233
61,ox,min,1,qbp8ivmd,3ivkoddv,62,40,[45],1200.0,1.0,1233
62,ox,min,1,qbp8ivmd,g0jwym51,63,41,[45],155.1,0.0,1233
63,ox,min,1,qbp8ivmd,7t1ygvjj,64,42,[45],158.7573023,0.0,1233
67,ox,min,1,qbp8ivmd,vdqplakk,68,44,[45],235.4143997,0.0,1233
68,ox,min,1,qbp8ivmd,67o6uw4v,69,45,[45],269.4338216,0.0,1233
69,ox,min,1,qbp8ivmd,69wezt93,70,46,[45],493.0548216,0.0,1233
71,ox,min,1,qbp8ivmd,tm3xabn8,72,47,[45],158.7573023,0.0,1233
73,ox,min,1,qbp8ivmd,omkj1h2l,74,48,[45],353.8019879,0.0,1233
74,ox,min,1,qbp8ivmd,3wd8qjor,75,49,[45],353.8019879,0.0,1233
75,ox,min,1,qbp8ivmd,pr7dbbfn,76,50,[45],408.233063,0.0,1233
76,ox,min,1,qbp8ivmd,jnfslqnc,77,51,[45],1500.0,0.0,1233
78,ox,min,1,qbp8ivmd,u8lpdv5k,79,52,[45],190.50876269999998,0.0,1233
79,ox,min,1,qbp8ivmd,edwuprur,80,53,[45],204.1165315,0.0,1233
80,ox,min,1,qbp8ivmd,wel4ywe4,81,54,[45],163.2932252,0.0,1233
81,ox,min,1,qbp8ivmd,ouahd7qc,82,55,[45],952.5438136,0.0,1233
82,ox,min,1,qbp8ivmd,qrk6z3kt,83,56,[45],503.9410366,0.0,1233
83,ox,min,1,qbp8ivmd,i5mkkik8,84,57,[45],340.1942191,0.0,1233
84,ox,min,1,qbp8ivmd,aqq3j38f,85,58,[45],158.7573023,0.0,1233
89,ox,min,1,qbp8ivmd,xljirncw,90,59,[45],233.6000305,0.0,1233
91,ox,min,1,qbp8ivmd,pl7kkw01,92,60,[45],544.3107506,0.0,1233
92,ox,min,1,qbp8ivmd,i1a6b5cu,93,61,[45],204.1165315,0.0,1233
93,ox,min,1,qbp8ivmd,ptk9pbex,94,62,[45],204.1165315,0.0,1233
97,ox,min,1,qbp8ivmd,1szr18w5,98,63,[45],204.1165315,0.0,1233
98,ox,min,1,qbp8ivmd,btvsdrgb,99,64,[45],544.3107506,0.0,1233
99,ox,min,1,qbp8ivmd,zkiqo9b8,100,65,[45],145.1041743,0.0,1233
100,ox,min,1,qbp8ivmd,37tpay8y,101,66,[45],197.3126471,0.0,1233
101,ox,min,1,qbp8ivmd,iuexxj0q,102,67,[45],145.1041743,0.0,1233
102,ox,min,1,qbp8ivmd,b0n87iyn,103,68,[45],145.1,0.0,1233
103,ox,min,1,qbp8ivmd,tjvnerzd,104,69,[103],1232.86385,1.0,1233
104,ox,min,1,qbp8ivmd,1dxi7qt7,105,70,[103],539.7748277000001,0.0,1233
106,ox,min,1,qbp8ivmd,3e99knls,111,75,[103],276.6912982,0.0,1233
107,ox,min,1,qbp8ivmd,bvko5cmo,112,76,[103],544.3107506,0.0,1233
109,ox,min,1,qbp8ivmd,z5enac0q,114,77,[103],816.466126,0.0,1233
110,ox,min,1,qbp8ivmd,27oqmaz5,115,78,[103],350.0,0.0,1233
113,ox,min,1,qbp8ivmd,jsvnd1tw,118,80,[103],1043.2622720000002,0.0,1233
114,ox,min,1,qbp8ivmd,kz4za67y,119,81,[103],288.0311055,0.0,1233
115,ox,min,1,qbp8ivmd,nc42zgu1,120,82,[103],145.1041743,0.0,1233
117,ox,min,1,qbp8ivmd,7bgkxkdb,122,83,[103],439.0773388,0.0,1233
119,ox,min,1,qbp8ivmd,rzzdsr4b,124,84,[103],1100.0,0.0,1233
118,ox,min,1,qbp8ivmd,axb0e4m9,123,85,[103],1300.0,1.0,1233
122,ox,min,1,qbp8ivmd,26iqgxpr,127,87,[103],381.01752539999995,0.0,1233
123,ox,min,1,qbp8ivmd,y3vkyt2j,128,88,[103],544.3107506,0.0,1233
124,ox,min,1,qbp8ivmd,qnnuuxpo,129,89,[103],816.466126,0.0,1233
125,ox,min,1,qbp8ivmd,e93y999u,130,90,[103],145.1,0.0,1233
127,ox,min,1,qbp8ivmd,4h6h609r,132,91,[130],453.59229220000003,0.0,1233
128,ox,min,1,qbp8ivmd,wowayq8d,133,92,[130],181.4369169,0.0,1233
130,ox,min,1,qbp8ivmd,3gg7dcy4,135,94,[130],324.40920739999996,0.0,1233
131,ox,min,1,qbp8ivmd,j3qh6zwp,136,95,[130],378.749564,0.0,1233
132,ox,min,1,qbp8ivmd,7u00bts0,137,96,[130],200.0,0.0,1233
133,ox,min,1,qbp8ivmd,oazcgdzd,138,97,[130],407.7794707,0.0,1233
135,ox,min,1,qbp8ivmd,0z394nhp,140,98,[130],358.3379108,0.0,1233
136,ox,min,1,qbp8ivmd,6mqk76mp,141,99,[130],290.299067,0.0,1233
137,ox,min,1,qbp8ivmd,ll1umxn9,142,100,[130],1233.0,1.0,1233
139,ox,min,1,qbp8ivmd,aysefy8u,144,101,[130],1233.0,1.0,1233
140,ox,min,1,qbp8ivmd,n0ea5q6p,145,102,[130],6803.884383,0.0,1233
141,ox,min,1,qbp8ivmd,wvee1nz5,146,103,[130],226.79614610000002,0.0,1233
142,ox,min,1,qbp8ivmd,bmrpuuya,147,104,[130],544.3107506,0.0,1233
143,ox,min,1,qbp8ivmd,81qjkmit,148,105,[130],249.4757607,0.0,1233
144,ox,min,1,qbp8ivmd,9rrl0224,149,106,[130],147.417495,0.0,1233
145,ox,min,1,qbp8ivmd,spwzp02e,150,107,[130],680.3884383,0.0,1233
146,ox,min,1,qbp8ivmd,3hmimh6a,151,108,[130],498.9515214,0.0,1233
148,ox,min,1,qbp8ivmd,pigkohlo,153,109,[130],1100.0,0.0,1233
149,ox,min,1,qbp8ivmd,mn8pyjsd,154,110,[130],1587.5730230000001,0.0,1233
150,ox,min,1,qbp8ivmd,lj5xigbp,155,111,[130],362.8738338,0.0,1233
152,ox,min,1,qbp8ivmd,aaooj063,157,112,[130],589.6699798999999,0.0,1233
153,ox,min,1,qbp8ivmd,naxh60w4,158,113,[130],680.3884383,0.0,1233
154,ox,min,1,qbp8ivmd,qt5lemii,159,114,[130],453.59229220000003,0.0,1233
155,ox,min,1,qbp8ivmd,fdn53wr0,160,115,[130],289.39188239999993,0.0,1233
157,ox,min,1,qbp8ivmd,ocb3phig,162,116,[130],294.8349899,0.0,1233
158,ox,min,1,qbp8ivmd,hv1y4vrd,163,117,[130],272.1553753,0.0,1233
159,ox,min,1,qbp8ivmd,grtodzcx,164,118,[130],1088.621501,0.0,1233
160,ox,min,1,qbp8ivmd,jarh7gyn,165,119,[130],816.466126,0.0,1233
161,ox,min,1,qbp8ivmd,6fpj0r1b,166,120,[130],254.01168360000003,0.0,1233
162,ox,min,1,qbp8ivmd,yh5p9w6b,167,121,[130],512.5592902,0.0,1233
163,ox,min,1,qbp8ivmd,lgh4zl74,168,122,[130],249.4757607,0.0,1233
164,ox,min,1,qbp8ivmd,fd5o0xms,169,123,[130],500.0,0.0,1233
165,ox,min,1,qbp8ivmd,e8nytoj4,170,124,[130],1133.98073,1.0,1233
167,ox,min,1,qbp8ivmd,whmajabf,172,125,[130],136.07768769999998,0.0,1233
168,ox,min,1,qbp8ivmd,fdp5kah9,173,126,[172],1360.776877,0.0,1233
170,ox,min,1,qbp8ivmd,2bajiq5v,175,127,[172],907.1845844000001,0.0,1233
171,ox,min,1,qbp8ivmd,55knutra,176,128,[172],340.1942191,0.0,1233
172,ox,min,1,qbp8ivmd,w0n0woxu,177,129,[172],907.1845844000001,0.0,1233
173,ox,min,1,qbp8ivmd,4gabwc4o,178,130,[172],428.0,0.0,1233
174,ox,min,1,qbp8ivmd,3ojwh0rr,179,131,[172],408.233063,0.0,1233
175,ox,min,1,qbp8ivmd,xovpulst,180,132,[172],170.09710959999998,0.0,1233
176,ox,min,1,qbp8ivmd,filyrpvo,181,133,[172],396.8932557,0.0,1233
177,ox,min,1,qbp8ivmd,dutbmlu0,182,134,[172],226.79614610000002,0.0,1233
178,ox,min,1,qbp8ivmd,dw1n0yay,183,135,[172],317.5146045,0.0,1233
179,ox,min,1,qbp8ivmd,mt7shkie,184,136,[172],385.5534484,0.0,1233
