,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
1,ox,A26XF8O4XRL8JA,min,1,qbp8ivmd,0z5htnyy,2,1,[],353.8019879,0.0,1233
0,ox,A3DUPRZSMU9W5R,min,1,qbp8ivmd,87mvo6pu,1,2,[2],816.466126,0.0,1233
2,ox,A21B78D7E5N17N,min,1,qbp8ivmd,pmo8rf9p,3,3,[2],550.0,0.0,1233
4,ox,A1017OLEMTKNHG,min,1,qbp8ivmd,x8qi1535,5,4,[2],680.3884383,0.0,1233
7,ox,A38YYLJ92QRU22,min,1,qbp8ivmd,sa8x8fm8,8,5,[2],907.1845844000001,0.0,1233
6,ox,AGSU9C1LDDN91,min,1,qbp8ivmd,i3i23qik,7,6,[2],589.6699798999999,0.0,1233
12,ox,A247LQ2UQW4LH0,min,1,qbp8ivmd,ixpeqtou,13,7,[2],317.5146045,0.0,1233
17,ox,A20SMUCY0FQA7Z,min,1,qbp8ivmd,j5k28sug,18,8,[13],315.0,0.0,1233
15,ox,A19NWZW9G2K8FR,min,1,qbp8ivmd,p2x0wqvv,16,9,[18],544.3107506,0.0,1233
22,ox,A1QKIA8XRNEXIG,min,1,qbp8ivmd,nmtgtbtm,23,11,[18],441.7988926,0.0,1233
24,ox,A2BXQ8SZLFQF4D,min,1,qbp8ivmd,npjkdr0w,25,12,[18],362.8738338,0.0,1233
25,ox,A1AMR0MZOHU8P1,min,1,qbp8ivmd,vj2c2fx0,26,13,[18],997.9030428,0.0,1233
27,ox,A2DWSKGD9RNKMJ,min,1,qbp8ivmd,sr1wb132,28,14,[18],353.8019879,0.0,1233
28,ox,A1DDBMHUUD900B,min,1,qbp8ivmd,nhuykjr4,29,15,[18],612.8031867999999,0.0,1233
29,ox,A9LX66EQWDRQ5,min,1,qbp8ivmd,wp6euphe,30,16,[18],635.0292091,0.0,1233
31,ox,A2G0GS8LJN1YMY,min,1,qbp8ivmd,51oots8x,32,17,[18],498.9515214,0.0,1233
32,ox,A1XJ1HM70IX4AQ,min,1,qbp8ivmd,s6bnsg7b,33,18,[18],543.4035661,0.0,1233
33,ox,A39EH9228GV09X,min,1,qbp8ivmd,me0qppew,34,19,[18],158.7573023,0.0,1233
36,ox,A2J988AKKQE93,min,1,qbp8ivmd,xlr6l2ch,37,20,[34],750.0,0.0,1233
37,ox,A1LQKMSG4GT8N,min,1,qbp8ivmd,qytfj3qt,38,21,[34],294.8349899,0.0,1233
38,ox,A196265AVT9LKH,min,1,qbp8ivmd,gpo00q1u,39,22,[34],544.3107506,0.0,1233
39,ox,A2M1CVZZJAN4T4,min,1,qbp8ivmd,l190iwhz,40,23,[34],500.0,0.0,1233
42,ox,A2A2PCKG5Q3U2G,min,1,qbp8ivmd,nwbgk9gz,43,24,[34],317.5146045,0.0,1233
43,ox,A34V7HUH38XVGT,min,1,qbp8ivmd,4b4ca8xg,44,25,[34],145.1495335,0.0,1233
44,ox,A2LSQLL0DOBPCI,min,1,qbp8ivmd,fru8h1u7,45,26,[44],145.1,0.0,1233
