,task,mturker,method,views,session,code,id,order,hist,guess,bonus,dots
1100,ox,A21SIPO89DP66I,min,1,t6vyrc0x,k3av7mir,1,1,[],612.349594465811,0.0,1233
1101,ox,A18E16UFE351U6,min,1,t6vyrc0x,lb8oxevo,2,2,[1],771.1068967347251,0.0,1233
1102,ox,A34UER5ZQ5APMB,min,1,t6vyrc0x,ma82x04u,3,3,[1],544.310750636277,0.0,1233
1107,ox,A2NGBBZKTUBTHS,min,1,t6vyrc0x,xee9onqm,8,4,[3],566.990365246121,0.0,1233
1104,ox,A11CEBNEYKIPU1,min,1,t6vyrc0x,szhhv2p5,5,5,[3],1218.0,1.0,1233
1106,ox,A2WJGI7XNUBRND,min,1,t6vyrc0x,bmyema4t,7,6,[3],211.827600455951,0.0,1233
1108,ox,A22X2UCMM5IB2U,min,1,t6vyrc0x,foyu5r9r,9,7,[7],566.990365246121,0.0,1233
1109,ox,A2HOFW0TRHLC04,min,1,t6vyrc0x,9aiu8ed8,10,8,[7],1360.77687659069,0.0,1233
1103,ox,A20ASMCESA51U4,min,1,t6vyrc0x,xk9w1lzb,4,9,[7],520.0,0.0,1233
1112,ox,AVEEXNWYXBSGM,min,1,t6vyrc0x,clp2xh87,13,10,[7],224.528184637464,0.0,1233
1117,ox,A1YATC681A2FIH,min,1,t6vyrc0x,ihvlqu7n,18,11,[7],907.1845843937939,0.0,1233
1119,ox,A374FPA3XROZUJ,min,1,t6vyrc0x,xxlvnxgo,20,12,[7],242.218284033143,0.0,1233
1121,ox,A2A14Q1JLWW6R1,min,1,t6vyrc0x,60t7d3h8,22,13,[7],997.903042833174,0.0,1233
1122,ox,A30MP4LXV4MIFD,min,1,t6vyrc0x,ypjcxtll,23,14,[7],173.272255619215,0.0,1233
1120,ox,A3GWEBM7DX4L0I,min,1,t6vyrc0x,56p4j3oi,21,15,[23],997.903042833174,0.0,1233
1124,ox,A2L0DI8GCL54U8,min,1,t6vyrc0x,75isrg01,25,16,[23],226.796146098449,0.0,1233
1125,ox,A2T11H7YI7QPGD,min,1,t6vyrc0x,lr4t859v,26,17,[23],362.873833757518,0.0,1233
1126,ox,AQ7RNVB2GZKUZ,min,1,t6vyrc0x,or7ysl6n,27,18,[23],181.436916878759,0.0,1233
1127,ox,A2STXZFG083AAB,min,1,t6vyrc0x,px2rkj6g,28,19,[23],702.160868320797,0.0,1233
1128,ox,AWE9A4ZOP9LNU,min,1,t6vyrc0x,7wtt7c8o,29,20,[23],542.042789175292,0.0,1233
1129,ox,A3MZE4FJ658B79,min,1,t6vyrc0x,1a2rv2bk,30,21,[23],455.860253657882,0.0,1233
1131,ox,A2NX08I5DFI8ZR,min,1,t6vyrc0x,6193aqxb,32,22,[23],230.0,0.0,1233
1132,ox,A2148LZC82UBIX,min,1,t6vyrc0x,gwdn712f,33,23,[23],171.3,0.0,1233
1133,ox,A22D5SCSQ6K2RP,min,1,t6vyrc0x,xn4kf694,34,24,[33],158.757302268914,0.0,1233
1134,ox,A3FUTSFH39MJA5,min,1,t6vyrc0x,1i6mvfdi,35,25,[34],544.310750636277,0.0,1233
1136,ox,A34DKLILCWYIHU,min,1,t6vyrc0x,mfzy5psu,37,26,[34],181.436916878759,0.0,1233
1135,ox,A26OCSX1VUO9EV,min,1,t6vyrc0x,fdy5jdpk,36,27,[34],480.0,0.0,1233
1137,ox,A26QHFTPCBGRFM,min,1,t6vyrc0x,duoxwlqk,38,28,[34],544.310750636277,0.0,1233
1138,ox,A3R1L6ID6NE0LU,min,1,t6vyrc0x,a6xk55t6,39,29,[34],453.59229219689695,0.0,1233
1139,ox,A3ZWMVK6GNTJ8,min,1,t6vyrc0x,lqtpal46,40,30,[34],544.310750636277,0.0,1233
1141,ox,A13FSH028ER11Z,min,1,t6vyrc0x,lt2cvh2x,42,31,[34],2041.1653148860398,0.0,1233
1142,ox,A37GOI3N77WX21,min,1,t6vyrc0x,wcnsojsi,43,32,[34],249.475760708293,0.0,1233
1143,ox,A3AMKPBPSL8ESW,min,1,t6vyrc0x,r3ias2y3,44,33,[34],2177.2430025451104,0.0,1233
1145,ox,A19AGGT81I9VFD,min,1,t6vyrc0x,bivmglv7,46,34,[34],578.330172551044,0.0,1233
1144,ox,A1EIDGQ6CF15J,min,1,t6vyrc0x,szqbn6od,45,35,[34],408.23306297720706,0.0,1233
1146,ox,A1535FFYCFNGBX,min,1,t6vyrc0x,z3eimdhi,47,36,[34],600.0,0.0,1233
1147,ox,A18EYTWBCV8NKE,min,1,t6vyrc0x,y7kmqrw2,48,37,[34],725.7476675150349,0.0,1233
1148,ox,A38HSRG6HHS8FX,min,1,t6vyrc0x,gre8uj3o,49,38,[34],204.116531488604,0.0,1233
1149,ox,A3311N5SIVPP96,min,1,t6vyrc0x,hk8go5dl,50,39,[34],226.796146098449,0.0,1233
1150,ox,A61EOMF7DFVA9,min,1,t6vyrc0x,7pvfz0in,51,40,[34],568.3511421227121,0.0,1233
1152,ox,A1CQPRZUT6BW44,min,1,t6vyrc0x,vhm6bdli,53,41,[34],476.27190680674204,0.0,1233
1153,ox,A1QX1YDOAN4LNA,min,1,t6vyrc0x,5lkiwt0f,54,42,[34],170.097109573836,0.0,1233
1155,ox,AWTBYWQ9K6B9O,min,1,t6vyrc0x,y27xzwdb,56,43,[34],1700.0,0.0,1233
1156,ox,A2S5JE15ITRV7N,min,1,t6vyrc0x,f1lnkvd6,57,44,[34],244.939837786324,0.0,1233
1158,ox,A3RZJWELNDWNS4,min,1,t6vyrc0x,45jzu42w,59,45,[34],370.0,0.0,1233
