,task,method,views,session,code,id,order,hist,guess,bonus,dots
2,ox,max,1,xnffbj66,fcltmjb0,3,1,[],907.1845843937939,0.0,1233
1,ox,max,1,xnffbj66,x3q8z4d1,2,2,[3],750.0,0.0,1233
0,ox,max,1,xnffbj66,44ik9kmv,1,3,[3],192.0,0.0,1233
8,ox,max,1,xnffbj66,4sh6pttc,9,4,[3],544.310750636277,0.0,1233
9,ox,max,1,xnffbj66,q7x4sk85,10,5,[3],1224.6991889316198,1.0,1233
11,ox,max,1,xnffbj66,2qkrue9c,12,6,[10],1451.4953350300698,0.0,1233
13,ox,max,1,xnffbj66,zf3biic6,14,7,[12],600.0,0.0,1233
20,ox,max,1,xnffbj66,y662jodl,21,9,[12],952.5438136134841,0.0,1233
21,ox,max,1,xnffbj66,8zduh2va,22,10,[12],1746.33032495805,0.0,1233
23,ox,max,1,xnffbj66,v65kpwyb,24,11,[22],3000.0,0.0,1233
25,ox,max,1,xnffbj66,lw7xv1ob,26,12,[24],2948.3498992798304,0.0,1233
26,ox,max,1,xnffbj66,m2kjsvqe,27,13,[24],1587.57302268914,0.0,1233
28,ox,max,1,xnffbj66,9sftcibr,29,14,[24],1088.62150127255,0.0,1233
29,ox,max,1,xnffbj66,s6b8l034,30,15,[24],3207.3510981242603,0.0,1233
31,ox,max,1,xnffbj66,6iycfj8d,32,16,[30],2747.8621061288,0.0,1233
32,ox,max,1,xnffbj66,138waw2z,33,17,[30],861.8253551741051,0.0,1233
33,ox,max,1,xnffbj66,iaywuyz8,34,18,[30],3084.4275869389003,0.0,1233
35,ox,max,1,xnffbj66,668ls45p,36,19,[30],1133.98073049224,1.0,1233
36,ox,max,1,xnffbj66,3njms760,37,20,[30],3401.9421914767304,0.0,1233
37,ox,max,1,xnffbj66,t35isxxd,38,21,[37],235.86799194238702,0.0,1233
39,ox,max,1,xnffbj66,wo41fdqt,40,22,[37],500.0,0.0,1233
40,ox,max,1,xnffbj66,64ei139j,41,23,[37],1200.0,1.0,1233
43,ox,max,1,xnffbj66,0hi5yrlc,44,24,[37],1800.0,0.0,1233
44,ox,max,1,xnffbj66,0h636ow9,45,25,[37],453.59229219689695,0.0,1233
45,ox,max,1,xnffbj66,fel9884e,46,26,[37],1800.0,0.0,1233
46,ox,max,1,xnffbj66,til3wk9o,47,27,[37],2400.0,0.0,1233
47,ox,max,1,xnffbj66,onvihh73,48,28,[37],952.5438136134841,0.0,1233
48,ox,max,1,xnffbj66,5ys96bx8,49,29,[37],453.59229219689695,0.0,1233
50,ox,max,1,xnffbj66,orka67us,51,30,[37],3175.14604537828,0.0,1233
52,ox,max,1,xnffbj66,4fhw75d6,53,31,[37],2948.3498992798304,0.0,1233
53,ox,max,1,xnffbj66,64dqftjd,54,32,[37],3401.9421914767304,0.0,1233
56,ox,max,1,xnffbj66,3wxhkjij,57,33,[54],1360.77687659069,0.0,1233
59,ox,max,1,xnffbj66,bnig20ah,60,34,[54],3900.8937128933203,0.0,1233
60,ox,max,1,xnffbj66,pzt52733,61,35,[60],2500.0,0.0,1233
64,ox,max,1,xnffbj66,ttnv5czz,65,36,[60],2900.0,0.0,1233
66,ox,max,1,xnffbj66,jhsg1jfu,67,37,[60],1270.05841815131,1.0,1233
65,ox,max,1,xnffbj66,4780z2jy,66,38,[60],3968.9325567228498,0.0,1233
67,ox,max,1,xnffbj66,625wezhp,68,39,[66],1360.77687659069,0.0,1233
68,ox,max,1,xnffbj66,mwnqhxvq,69,40,[66],1247.3788035414698,1.0,1233
69,ox,max,1,xnffbj66,ierfffal,70,41,[66],323.411304336388,0.0,1233
71,ox,max,1,xnffbj66,q77t7ktm,72,42,[66],1000.0,0.0,1233
72,ox,max,1,xnffbj66,boo8xjv9,73,43,[66],3175.14604537828,0.0,1233
73,ox,max,1,xnffbj66,pxwx08dk,74,44,[66],1088.62150127255,0.0,1233
74,ox,max,1,xnffbj66,865sej61,75,45,[66],3175.14604537828,0.0,1233
76,ox,max,1,xnffbj66,26te2wfk,77,46,[66],1587.57302268914,0.0,1233
77,ox,max,1,xnffbj66,0e7uiy9m,78,47,[66],3628.7383375751792,0.0,1233
78,ox,max,1,xnffbj66,oikx7e3w,79,48,[66],3968.9325567228498,0.0,1233
81,ox,max,1,xnffbj66,l25b3k26,82,49,[79],566.990365246121,0.0,1233
82,ox,max,1,xnffbj66,s46tut99,83,50,[79],897.0,0.0,1233
83,ox,max,1,xnffbj66,hie1gay6,84,51,[79],800.0,0.0,1233
84,ox,max,1,xnffbj66,2fclv5jn,85,52,[79],1587.57302268914,0.0,1233
85,ox,max,1,xnffbj66,0ufeqgwz,86,53,[79],226.796146098449,0.0,1233
86,ox,max,1,xnffbj66,cp8v9smh,87,54,[79],4082.33062977207,0.0,1233
87,ox,max,1,xnffbj66,r7z1trz5,88,55,[87],1200.0,1.0,1233
88,ox,max,1,xnffbj66,ani1mipe,89,56,[87],2382.2667186181,0.0,1233
89,ox,max,1,xnffbj66,i911267h,90,57,[87],1325.0,1.0,1233
90,ox,max,1,xnffbj66,vqseeefa,91,58,[87],1451.4953350300698,0.0,1233
